m49_code,country,region,cpc_code,commodity,year,loss_percentage,loss_percentage_original,loss_quantity,activity,food_supply_stage,treatment,cause_of_loss,sample_size,method_data_collection,reference,url,notes,major waste type,Region
104,Myanmar,,113.0,Rice,1994,2.1,2.1,,,Harvest,,"Too Mature, Leading To Breakage",,,,http://www.fao.org/docrep/004/ac301e/AC301e04.htm#3.1 Methodological problems,,Cereals & Pulses,East Asia & Pacific
104,Myanmar,,113.0,Rice,1994,0.5,0.5,,,Farm,,Field Stacking And Bundling,,,,http://www.fao.org/docrep/004/ac301e/AC301e04.htm#3.1 Methodological problems,,Cereals & Pulses,East Asia & Pacific
104,Myanmar,,113.0,Rice,1994,5.2,5.2,,,Farm,,Reaper-Binder,,,(Calverley: evaluation of 11 FAO projects in Asia),http://www.fao.org/docrep/004/ac301e/AC301e04.htm#3.1 Methodological problems,,Cereals & Pulses,East Asia & Pacific
104,Myanmar,,113.0,Rice,1994,1.9,1.9,,,Harvest,,Traditional Hand Cutting,,,(Calverley: evaluation of 11 FAO projects in Asia),http://www.fao.org/docrep/004/ac301e/AC301e04.htm#3.1 Methodological problems,,Cereals & Pulses,East Asia & Pacific
104,Myanmar,,113.0,Rice,1994,2.1,2.1,,Harvesting,Harvest,,Combine-Harvester,,,(Calverley: evaluation of 11 FAO projects in Asia),http://www.fao.org/docrep/004/ac301e/AC301e04.htm#3.1 Methodological problems,,Cereals & Pulses,East Asia & Pacific
104,Myanmar,,113.0,Rice,1994,5.4,5.4,,,Harvest,,Shoulder Power Reaper,,,(Calverley: evaluation of 11 FAO projects in Asia),http://www.fao.org/docrep/004/ac301e/AC301e04.htm#3.1 Methodological problems,,Cereals & Pulses,East Asia & Pacific
108,Burundi,,118.0,Millet,2010,2.5,2.5,,Transportation,Farm,,,,Modelled Estimates,,https://www.aphlis.net/en/page/20/data-tables#/datatables?tab=value_chain&metric=prc,,Cereals & Pulses,Sub-Saharan Africa
108,Burundi,,111.0,Wheat,2002,2.5,2.5,,Transportation,Farm,,,,Modelled Estimates,,https://www.aphlis.net/en/page/20/data-tables#/datatables?tab=value_chain&metric=prc,,Cereals & Pulses,Sub-Saharan Africa
120,Cameroon,,112.0,Maize (corn),2004,6.42,6.42,,"Drying, Harvesting",Harvest,,,,Modelled Estimates,,https://www.aphlis.net/en/page/20/data-tables#/datatables?tab=value_chain&metric=prc,,Cereals & Pulses,Sub-Saharan Africa
144,Sri Lanka,,1212.0,Cabbages,2002,13.23,13.23%,,Retailing,Retail,,,,Literature Review,Asian Productivity Organization and Food and Agriculture Organization of the United Nations,,,Fruits & Vegetables,South Asia
144,Sri Lanka,,1212.0,Cabbages,2002,6.17,6.17%,,Wholesale,Wholesale,,,,Literature Review,Asian Productivity Organization and Food and Agriculture Organization of the United Nations,,,Fruits & Vegetables,South Asia
144,Sri Lanka,,1212.0,Cabbages,2002,8.36,8.36%,,,Farm,,,,Literature Review,Asian Productivity Organization and Food and Agriculture Organization of the United Nations,,,Fruits & Vegetables,South Asia
144,Sri Lanka,,1233.0,Eggplants (aubergines),2002,10.99,10.99%,,,Farm,,,,Literature Review,Asian Productivity Organization and Food and Agriculture Organization of the United Nations,,,Fruits & Vegetables,South Asia
144,Sri Lanka,,1234.0,Tomatoes,2002,7.25,7.25%,,,Farm,,,,Literature Review,Asian Productivity Organization and Food and Agriculture Organization of the United Nations,,,Fruits & Vegetables,South Asia
144,Sri Lanka,,1235.0,"Pumpkins, squash and gourds",2002,5.13,5.13%,,Collection,Trader,,,,Literature Review,Asian Productivity Organization and Food and Agriculture Organization of the United Nations,,,Fruits & Vegetables,South Asia
144,Sri Lanka,,1235.0,"Pumpkins, squash and gourds",2002,5.13,5.13%,,,Farm,,,,Literature Review,Asian Productivity Organization and Food and Agriculture Organization of the United Nations,,,Fruits & Vegetables,South Asia
144,Sri Lanka,,1235.0,"Pumpkins, squash and gourds",2002,1.86,1.86%,,Wholesale,Wholesale,,,,Literature Review,Asian Productivity Organization and Food and Agriculture Organization of the United Nations,,,Fruits & Vegetables,South Asia
144,Sri Lanka,,1235.0,"Pumpkins, squash and gourds",2002,22.37,22.37%,,"Cleaning, Collection, Distribution, Drying, Field, Harvesting, Shelling, Storage, Threshing, Transportation",Whole supply chain,,,,Literature Review,Asian Productivity Organization and Food and Agriculture Organization of the United Nations,,,Fruits & Vegetables,South Asia
144,Sri Lanka,,1239.01,Okra,2002,2.38,2.38%,,Wholesale,Wholesale,,,,Literature Review,Asian Productivity Organization and Food and Agriculture Organization of the United Nations,,,Fruits & Vegetables,South Asia
144,Sri Lanka,,1251.0,Carrots and turnips,2002,28.4,28.40%,,"Cleaning, Collection, Distribution, Drying, Field, Harvesting, Shelling, Storage, Threshing, Transportation",Whole supply chain,,,,Literature Review,Asian Productivity Organization and Food and Agriculture Organization of the United Nations,,,Fruits & Vegetables,South Asia
144,Sri Lanka,,1251.0,Carrots and turnips,2002,9.32,9.32%,,Collection,Trader,,,,Literature Review,Asian Productivity Organization and Food and Agriculture Organization of the United Nations,,,Fruits & Vegetables,South Asia
144,Sri Lanka,,1254.0,Leeks and other alliaceous vegetables,2002,11.44,11.44%,,Retailing,Retail,,,,Literature Review,Asian Productivity Organization and Food and Agriculture Organization of the United Nations,,,Fruits & Vegetables,South Asia
