"m49_code","country","region","cpc_code","commodity","year","loss_percentage","loss_percentage_original","loss_quantity","activity","food_supply_stage","treatment","cause_of_loss","sample_size","method_data_collection","reference","url","notes"
"156","China",,"21111.01","Meat of cattle with the bone, fresh or chilled",2007,3.1,"2.5-3.7",,,"Storage",,,,"No Data Collection Specified",,"http://www.oecd.org/site/agrfcn/food%20losses%20and%20waste%20in%20china_gang%20liu.pdf",
"156","China",,"21111.01","Meat of cattle with the bone, fresh or chilled",2007,3,"3",,,"Wholesale",,,,"No Data Collection Specified",,"http://www.oecd.org/site/agrfcn/food%20losses%20and%20waste%20in%20china_gang%20liu.pdf",
"156","China",,"21111.01","Meat of cattle with the bone, fresh or chilled",2007,1.1,"1.1",,,"Processing",,,,"No Data Collection Specified",,"http://www.oecd.org/site/agrfcn/food%20losses%20and%20waste%20in%20china_gang%20liu.pdf",
"156","China",,"21111.01","Meat of cattle with the bone, fresh or chilled",2007,1.75,"1.4-2.1",,,"Processing",,"Handling",,"No Data Collection Specified",,"http://www.oecd.org/site/agrfcn/food%20losses%20and%20waste%20in%20china_gang%20liu.pdf",
"246","Finland",,"02211","Raw milk of cattle",2010,17,"17%",,"Consumption","Households",,,,"Survey","Venice 2012, Fourth International Symposium on Energy from Biomass and Waste",,
"246","Finland",,"02211","Raw milk of cattle",2010,4,"4%",,"Consumption","Households",,,,"Survey","Venice 2012, Fourth International Symposium on Energy from Biomass and Waste",,
"246","Finland",,"0231","Hen eggs in shell, fresh",2010,7,"7%",,"Consumption","Households",,,,"Survey","Venice 2012, Fourth International Symposium on Energy from Biomass and Waste",,
"246","Finland",,"21111.01","Meat of cattle with the bone, fresh or chilled",2010,7,"7%",,"Consumption","Households",,,,"Survey","Venice 2012, Fourth International Symposium on Energy from Biomass and Waste",,
"246","Finland",,"21111.01","Meat of cattle with the bone, fresh or chilled",2010,9,"9%",,"Consumption","Food Services",,,,"Survey","Venice 2012, Fourth International Symposium on Energy from Biomass and Waste",,
"246","Finland",,"22251.01","Cheese from whole cow milk",2010,3,"3%",,"Consumption","Food Services",,,,"Survey","Venice 2012, Fourth International Symposium on Energy from Biomass and Waste",,
"246","Finland",,"22290","Dairy products n.e.c.",2010,3,"3%",,"Consumption","Food Services",,,,"Survey","Venice 2012, Fourth International Symposium on Energy from Biomass and Waste",,
"356","India",,"02211","Raw milk of cattle",2006,0.12,"0.12",,"Harvesting","Harvest",,,,"Survey","ICAR - S.K. Nanda, P.K. Vishwakarma","https://www.researchgate.net/publication/280780214_Harvest_and_post_harvest_losses_of_major_crops_and_livestock_produce_in_India",
"356","India",,"02211","Raw milk of cattle",2006,0.09,"0.09",,"Storage","Storage",,"","","Survey","ICAR - S.K. Nanda, P.K. Vishwakarma","https://www.researchgate.net/publication/280780214_Harvest_and_post_harvest_losses_of_major_crops_and_livestock_produce_in_India",""
"356","India",,"02211","Raw milk of cattle",2006,0.49,"0.49",,"Collection","Farm",,,,"Survey","ICAR - S.K. Nanda, P.K. Vishwakarma","https://www.researchgate.net/publication/280780214_Harvest_and_post_harvest_losses_of_major_crops_and_livestock_produce_in_India",
"356","India",,"02211","Raw milk of cattle",2006,0.07,"0.07",,"Transportation","Transport",,"","","Survey","ICAR - S.K. Nanda, P.K. Vishwakarma","https://www.researchgate.net/publication/280780214_Harvest_and_post_harvest_losses_of_major_crops_and_livestock_produce_in_India",""
"356","India",,"02211","Raw milk of cattle",2006,0.24,"0.24",,"Processing","Storage",,,,"Survey","ICAR - S.K. Nanda, P.K. Vishwakarma","https://www.researchgate.net/publication/280780214_Harvest_and_post_harvest_losses_of_major_crops_and_livestock_produce_in_India",
"356","India",,"0231","Hen eggs in shell, fresh",2006,0.98,"0.98",,"Packaging","Farm",,,,"Survey","ICAR - S.K. Nanda, P.K. Vishwakarma","https://www.researchgate.net/publication/280780214_Harvest_and_post_harvest_losses_of_major_crops_and_livestock_produce_in_India",
"356","India",,"0231","Hen eggs in shell, fresh",2006,1.83,"1.83",,"Transportation","Transport",,"","","Survey","ICAR - S.K. Nanda, P.K. Vishwakarma","https://www.researchgate.net/publication/280780214_Harvest_and_post_harvest_losses_of_major_crops_and_livestock_produce_in_India",""
"356","India",,"0231","Hen eggs in shell, fresh",2006,2.07,"2.07",,"Processing","Storage",,,,"Survey","ICAR - S.K. Nanda, P.K. Vishwakarma","https://www.researchgate.net/publication/280780214_Harvest_and_post_harvest_losses_of_major_crops_and_livestock_produce_in_India",
"356","India",,"0231","Hen eggs in shell, fresh",2006,2.08,"2.08",,"Collection","Farm",,,,"Survey","ICAR - S.K. Nanda, P.K. Vishwakarma","https://www.researchgate.net/publication/280780214_Harvest_and_post_harvest_losses_of_major_crops_and_livestock_produce_in_India",
"356","India",,"0231","Hen eggs in shell, fresh",2006,0.76,"0.76",,"Storage","Storage",,"","","Survey","ICAR - S.K. Nanda, P.K. Vishwakarma","https://www.researchgate.net/publication/280780214_Harvest_and_post_harvest_losses_of_major_crops_and_livestock_produce_in_India",""
"356","India",,"0231","Hen eggs in shell, fresh",2006,1.72,"1.72",,"Wholesale","Storage",,,,"Survey","ICAR - S.K. Nanda, P.K. Vishwakarma","https://www.researchgate.net/publication/280780214_Harvest_and_post_harvest_losses_of_major_crops_and_livestock_produce_in_India",
"356","India",,"0231","Hen eggs in shell, fresh",2006,1.73,"1.73",,"Retailing","Storage",,,,"Survey","ICAR - S.K. Nanda, P.K. Vishwakarma","https://www.researchgate.net/publication/280780214_Harvest_and_post_harvest_losses_of_major_crops_and_livestock_produce_in_India",
