"m49_code","country","region","cpc_code","commodity","year","loss_percentage","loss_percentage_original","loss_quantity","activity","food_supply_stage","treatment","cause_of_loss","sample_size","method_data_collection","reference","url","notes"
"204","Benin",,"01651","Pepper (<i>Piper</i> spp.), raw",2010,9.5,"8.0-11",,,"Retail",,,,"Case Study","Kitinoja","http://ucanr.edu/datastoreFiles/234-1847.pdf",
"204","Benin",,"01651","Pepper (<i>Piper</i> spp.), raw",2010,10.45,"5.9-15",,,"Farm",,,,"Case Study","Kitinoja","http://ucanr.edu/datastoreFiles/234-1847.pdf",
"204","Benin",,"01651","Pepper (<i>Piper</i> spp.), raw",2010,12.1,"6.2-18",,,"Wholesale",,,,"Case Study","Kitinoja","http://ucanr.edu/datastoreFiles/234-1847.pdf",
"288","Ghana",,"01651","Pepper (<i>Piper</i> spp.), raw",2010,13.1,"8.7-17.5",,,"Retail",,,,"Case Study","Kitinoja","http://ucanr.edu/datastoreFiles/234-1847.pdf",
"288","Ghana",,"01651","Pepper (<i>Piper</i> spp.), raw",2010,15.55,"13-18.1",,,"Farm",,,,"Case Study","Kitinoja","http://ucanr.edu/datastoreFiles/234-1847.pdf",
"566","Nigeria",,"01651","Pepper (<i>Piper</i> spp.), raw",2010,12,"12",,,"Farm",,,"30","Survey","Olayemi F. F., Adegbola J. A., Bamishaiye E. I. and Daura A. M","http://www.measurepostharvestlosses.com/sites/default/files/survtomatoeph.pdf",
"566","Nigeria",,"01651","Pepper (<i>Piper</i> spp.), raw",2010,8,"8",,,"Farm",,,"30","Survey","Olayemi F. F., Adegbola J. A., Bamishaiye E. I. and Daura A. M","http://www.measurepostharvestlosses.com/sites/default/files/survtomatoeph.pdf",
"566","Nigeria",,"01651","Pepper (<i>Piper</i> spp.), raw",2010,15,"15",,,"Transport",,,"30","Survey","Olayemi F. F., Adegbola J. A., Bamishaiye E. I. and Daura A. M","http://www.measurepostharvestlosses.com/sites/default/files/survtomatoeph.pdf",
"566","Nigeria",,"01651","Pepper (<i>Piper</i> spp.), raw",2010,10,"10",,,"Transport",,,"30","Survey","Olayemi F. F., Adegbola J. A., Bamishaiye E. I. and Daura A. M","http://www.measurepostharvestlosses.com/sites/default/files/survtomatoeph.pdf",
"566","Nigeria",,"01652","Chillies and peppers, dry (<i>Capsicum</i> spp., <i>Pimenta</i> spp.), raw",2010,8,"8%",,"Harvesting","Harvest",,,"60","Survey","Olayemi F. F., Adegbola J. A., Bamishaiye E. I. and Daura A. M. (2010)",,
"694","Sierra Leone",,"01640","Cocoa beans",2010,22.5,"20-25",,,"Whole supply chain",,,,"Case Study","Joint ADB/FAO Rapid Country Needs Assessment/ Peters D. July 15, 2005. Production and Market Systems: Kailahun, Kono, and Koinadugu Districts of Sierra Leone; A consulting report for CRS-Sierra Leone.","http://www.fao.org/3/a-au874e.pdf",
