"m49_code","country","region","cpc_code","commodity","year","loss_percentage","loss_percentage_original","loss_quantity","activity","food_supply_stage","treatment","cause_of_loss","sample_size","method_data_collection","reference","url","notes"
"204","Benin",,"01651","Pepper (<i>Piper</i> spp.), raw",2010,9.5,"8.0-11",,,"Retail",,,,"Case Study","Kitinoja","http://ucanr.edu/datastoreFiles/234-1847.pdf",
"204","Benin",,"01651","Pepper (<i>Piper</i> spp.), raw",2010,10.45,"5.9-15",,,"Farm",,,,"Case Study","Kitinoja","http://ucanr.edu/datastoreFiles/234-1847.pdf",
"204","Benin",,"01651","Pepper (<i>Piper</i> spp.), raw",2010,12.1,"6.2-18",,,"Wholesale",,,,"Case Study","Kitinoja","http://ucanr.edu/datastoreFiles/234-1847.pdf",
"204","Benin",,"01651","Pepper (<i>Piper</i> spp.), raw",2009,5.9,"5.9",,,"Farm",,"Physical Losses","10, planning project","Case Study","IITA","http://ucanr.edu/datastoreFiles/234-1847.pdf",
"204","Benin",,"01651","Pepper (<i>Piper</i> spp.), raw",2009,10,"10",,"Grading, Sorting","Retail",,"Mechanical Damage","10, planning project","Case Study","IITA","http://ucanr.edu/datastoreFiles/234-1847.pdf",
"204","Benin",,"01651","Pepper (<i>Piper</i> spp.), raw",2009,18,"18",,"Grading, Sorting","Wholesale",,"Decay","10, planning project","Case Study","IITA","http://ucanr.edu/datastoreFiles/234-1847.pdf",
"204","Benin",,"01651","Pepper (<i>Piper</i> spp.), raw",2009,6.2,"6.2",,,"Wholesale",,"Physical Losses","10, planning project","Case Study","IITA","http://ucanr.edu/datastoreFiles/234-1847.pdf",
"204","Benin",,"01651","Pepper (<i>Piper</i> spp.), raw",2009,8,"8",,"Grading, Sorting","Retail",,"Decay","10, planning project","Case Study","IITA","http://ucanr.edu/datastoreFiles/234-1847.pdf",
"204","Benin",,"01651","Pepper (<i>Piper</i> spp.), raw",2009,7,"7",,"Grading, Sorting","Wholesale",,"Mechanical Damage","10, planning project","Case Study","IITA","http://ucanr.edu/datastoreFiles/234-1847.pdf",
"204","Benin",,"01651","Pepper (<i>Piper</i> spp.), raw",2009,15,"15",,"Grading, Sorting","Farm",,"Mechanical Damage","10, planning project","Case Study","IITA","http://ucanr.edu/datastoreFiles/234-1847.pdf",
"231","Ethiopia",,"01651","Pepper (<i>Piper</i> spp.), raw",1991,2,"2",,,"Whole supply chain",,,,"Literature Review","Tadesse 1991","http://ucanr.edu/datastoreFiles/234-1847.pdf; http://ucce.ucdavis.edu/files/datastore/234-1479.pdf",
"288","Ghana",,"01651","Pepper (<i>Piper</i> spp.), raw",2010,13.1,"8.7-17.5",,,"Retail",,,,"Case Study","Kitinoja","http://ucanr.edu/datastoreFiles/234-1847.pdf",
"288","Ghana",,"01651","Pepper (<i>Piper</i> spp.), raw",2010,15.55,"13-18.1",,,"Farm",,,,"Case Study","Kitinoja","http://ucanr.edu/datastoreFiles/234-1847.pdf",
"356","India",,"01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2009,7.24,"7.24%","0.3kg","Storage","Storage","Outside the Zero Energy Cool Chamber (ZECC)",,,"Controlled Experiment","Lisa Kitinoja (2010)",,
"356","India",,"01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2009,3.86,"3.86%","0.16kg","Storage","Storage","Trials in Zero Energy Cool Chamber (ZECC)",,,"Controlled Experiment","Lisa Kitinoja (2010)",,
"356","India",,"01372","Cashew nuts, in shell",2006,0.13,"0.13",,"Storage","Storage",,"","","Survey","ICAR - S.K. Nanda, P.K. Vishwakarma","https://www.researchgate.net/publication/280780214_Harvest_and_post_harvest_losses_of_major_crops_and_livestock_produce_in_India",""
"356","India",,"01372","Cashew nuts, in shell",2006,0.22,"0.22",,"Wholesale","Storage",,,,"Survey","ICAR - S.K. Nanda, P.K. Vishwakarma","https://www.researchgate.net/publication/280780214_Harvest_and_post_harvest_losses_of_major_crops_and_livestock_produce_in_India",
"356","India",,"01372","Cashew nuts, in shell",2006,0.24,"0.24",,"Processing","Storage",,,,"Survey","ICAR - S.K. Nanda, P.K. Vishwakarma","https://www.researchgate.net/publication/280780214_Harvest_and_post_harvest_losses_of_major_crops_and_livestock_produce_in_India",
"356","India",,"01372","Cashew nuts, in shell",2006,0.16,"0.16",,"Harvesting","Harvest",,,,"Survey","ICAR - S.K. Nanda, P.K. Vishwakarma","https://www.researchgate.net/publication/280780214_Harvest_and_post_harvest_losses_of_major_crops_and_livestock_produce_in_India",
"356","India",,"01372","Cashew nuts, in shell",2006,0.37,"0.37",,"Threshing","Farm",,,,"Survey","ICAR - S.K. Nanda, P.K. Vishwakarma","https://www.researchgate.net/publication/280780214_Harvest_and_post_harvest_losses_of_major_crops_and_livestock_produce_in_India",
"356","India",,"01372","Cashew nuts, in shell",2006,0.14,"0.14",,"Collection","Farm",,,,"Survey","ICAR - S.K. Nanda, P.K. Vishwakarma","https://www.researchgate.net/publication/280780214_Harvest_and_post_harvest_losses_of_major_crops_and_livestock_produce_in_India",
"356","India",,"01372","Cashew nuts, in shell",2006,0.21,"0.21",,"Drying","Farm",,,,"Survey","ICAR - S.K. Nanda, P.K. Vishwakarma","https://www.researchgate.net/publication/280780214_Harvest_and_post_harvest_losses_of_major_crops_and_livestock_produce_in_India",
"356","India",,"01372","Cashew nuts, in shell",2006,0.36,"0.36",,"Retailing","Storage",,,,"Survey","ICAR - S.K. Nanda, P.K. Vishwakarma","https://www.researchgate.net/publication/280780214_Harvest_and_post_harvest_losses_of_major_crops_and_livestock_produce_in_India",
"356","India",,"01372","Cashew nuts, in shell",2006,0.01,"0.01",,"Transportation","Transport",,"","","Survey","ICAR - S.K. Nanda, P.K. Vishwakarma","https://www.researchgate.net/publication/280780214_Harvest_and_post_harvest_losses_of_major_crops_and_livestock_produce_in_India",""
"356","India",,"01379.01","Areca nuts",2006,1.53,"1.53",,"Storage","Storage",,"","","Survey","ICAR - S.K. Nanda, P.K. Vishwakarma","https://www.researchgate.net/publication/280780214_Harvest_and_post_harvest_losses_of_major_crops_and_livestock_produce_in_India",""
"356","India",,"01379.01","Areca nuts",2006,0.39,"0.39",,"Grading, Sorting","Farm",,,,"Survey","ICAR - S.K. Nanda, P.K. Vishwakarma","https://www.researchgate.net/publication/280780214_Harvest_and_post_harvest_losses_of_major_crops_and_livestock_produce_in_India",
"356","India",,"01379.01","Areca nuts",2006,3.32,"3.32",,"Threshing","Farm",,,,"Survey","ICAR - S.K. Nanda, P.K. Vishwakarma","https://www.researchgate.net/publication/280780214_Harvest_and_post_harvest_losses_of_major_crops_and_livestock_produce_in_India",
"356","India",,"01379.01","Areca nuts",2006,0.19,"0.19",,"Transportation","Transport",,"","","Survey","ICAR - S.K. Nanda, P.K. Vishwakarma","https://www.researchgate.net/publication/280780214_Harvest_and_post_harvest_losses_of_major_crops_and_livestock_produce_in_India",""
"356","India",,"01379.01","Areca nuts",2006,0.74,"0.74",,"Processing","Storage",,,,"Survey","ICAR - S.K. Nanda, P.K. Vishwakarma","https://www.researchgate.net/publication/280780214_Harvest_and_post_harvest_losses_of_major_crops_and_livestock_produce_in_India",
"356","India",,"01379.01","Areca nuts",2006,0.16,"0.16",,"Collection","Farm",,,,"Survey","ICAR - S.K. Nanda, P.K. Vishwakarma","https://www.researchgate.net/publication/280780214_Harvest_and_post_harvest_losses_of_major_crops_and_livestock_produce_in_India",
"356","India",,"01379.01","Areca nuts",2006,0.19,"0.19",,"Drying","Farm",,,,"Survey","ICAR - S.K. Nanda, P.K. Vishwakarma","https://www.researchgate.net/publication/280780214_Harvest_and_post_harvest_losses_of_major_crops_and_livestock_produce_in_India",
"356","India",,"01379.01","Areca nuts",2006,1.85,"1.85",,"Retailing","Storage",,,,"Survey","ICAR - S.K. Nanda, P.K. Vishwakarma","https://www.researchgate.net/publication/280780214_Harvest_and_post_harvest_losses_of_major_crops_and_livestock_produce_in_India",
"356","India",,"01379.01","Areca nuts",2006,0.41,"0.41",,"Cleaning, Winnowing","Farm",,,,"Survey","ICAR - S.K. Nanda, P.K. Vishwakarma","https://www.researchgate.net/publication/280780214_Harvest_and_post_harvest_losses_of_major_crops_and_livestock_produce_in_India",
"356","India",,"01379.01","Areca nuts",2006,0.06,"0.06",,"Packaging","Farm",,,,"Survey","ICAR - S.K. Nanda, P.K. Vishwakarma","https://www.researchgate.net/publication/280780214_Harvest_and_post_harvest_losses_of_major_crops_and_livestock_produce_in_India",
