m49_code,country,region,cpc_code,commodity,year,loss_percentage,loss_percentage_original,loss_quantity,activity,food_supply_stage,treatment,cause_of_loss,sample_size,method_data_collection,reference,url,notes,major waste type,Region
108,Burundi,,111.0,Wheat,2010,2.5,2.5,,Transportation,Farm,,,,Modelled Estimates,,https://www.aphlis.net/en/page/20/data-tables#/datatables?tab=value_chain&metric=prc,,Cereals & Pulses,Sub-Saharan Africa
108,Burundi,,111.0,Wheat,2010,4.43,4.43,,"Drying, Harvesting",Harvest,,,,Modelled Estimates,,https://www.aphlis.net/en/page/20/data-tables#/datatables?tab=value_chain&metric=prc,,Cereals & Pulses,Sub-Saharan Africa
108,Burundi,,112.0,Maize (corn),2010,1.32,1.32,,"Shelling, Threshing",Farm,,,,Modelled Estimates,,https://www.aphlis.net/en/page/20/data-tables#/datatables?tab=value_chain&metric=prc,,Cereals & Pulses,Sub-Saharan Africa
108,Burundi,,112.0,Maize (corn),2010,6.42,6.42,,"Drying, Harvesting",Harvest,,,,Modelled Estimates,,https://www.aphlis.net/en/page/20/data-tables#/datatables?tab=value_chain&metric=prc,,Cereals & Pulses,Sub-Saharan Africa
108,Burundi,,112.0,Maize (corn),2010,4.0,4,,Drying,Farm,,,,Modelled Estimates,,https://www.aphlis.net/en/page/20/data-tables#/datatables?tab=value_chain&metric=prc,,Cereals & Pulses,Sub-Saharan Africa
108,Burundi,,113.0,Rice,2010,4.4,4.4,,"Drying, Harvesting",Harvest,,,,Modelled Estimates,,https://www.aphlis.net/en/page/20/data-tables#/datatables?tab=value_chain&metric=prc,,Cereals & Pulses,Sub-Saharan Africa
108,Burundi,,113.0,Rice,2010,2.5,2.5,,Winnowing,Farm,,,,Modelled Estimates,,https://www.aphlis.net/en/page/20/data-tables#/datatables?tab=value_chain&metric=prc,,Cereals & Pulses,Sub-Saharan Africa
108,Burundi,,113.0,Rice,2010,3.14,3.14,,"Shelling, Threshing",Farm,,,,Modelled Estimates,,https://www.aphlis.net/en/page/20/data-tables#/datatables?tab=value_chain&metric=prc,,Cereals & Pulses,Sub-Saharan Africa
108,Burundi,,114.0,Sorghum,2010,2.69,2.69,,Storage,Farm,,,,Modelled Estimates,,https://www.aphlis.net/en/page/20/data-tables#/datatables?tab=value_chain&metric=prc,,Cereals & Pulses,Sub-Saharan Africa
108,Burundi,,114.0,Sorghum,2010,3.6,3.6,,"Shelling, Threshing",Farm,,,,Modelled Estimates,,https://www.aphlis.net/en/page/20/data-tables#/datatables?tab=value_chain&metric=prc,,Cereals & Pulses,Sub-Saharan Africa
108,Burundi,,114.0,Sorghum,2010,2.17,2.17,,Transportation,Farm,,,,Modelled Estimates,,https://www.aphlis.net/en/page/20/data-tables#/datatables?tab=value_chain&metric=prc,,Cereals & Pulses,Sub-Saharan Africa
108,Burundi,,114.0,Sorghum,2010,4.55,4.55,,"Drying, Harvesting",Harvest,,,,Modelled Estimates,,https://www.aphlis.net/en/page/20/data-tables#/datatables?tab=value_chain&metric=prc,,Cereals & Pulses,Sub-Saharan Africa
108,Burundi,,118.0,Millet,2010,1.18,1.18,,Storage,Farm,,,,Modelled Estimates,,https://www.aphlis.net/en/page/20/data-tables#/datatables?tab=value_chain&metric=prc,,Cereals & Pulses,Sub-Saharan Africa
108,Burundi,,118.0,Millet,2010,3.5,3.5,,"Drying, Harvesting",Harvest,,,,Modelled Estimates,,https://www.aphlis.net/en/page/20/data-tables#/datatables?tab=value_chain&metric=prc,,Cereals & Pulses,Sub-Saharan Africa
120,Cameroon,,112.0,Maize (corn),2010,2.38,2.38,,Transportation,Farm,,,,Modelled Estimates,,https://www.aphlis.net/en/page/20/data-tables#/datatables?tab=value_chain&metric=prc,,Cereals & Pulses,Sub-Saharan Africa
120,Cameroon,,112.0,Maize (corn),2010,6.42,6.42,,"Drying, Harvesting",Harvest,,,,Modelled Estimates,,https://www.aphlis.net/en/page/20/data-tables#/datatables?tab=value_chain&metric=prc,,Cereals & Pulses,Sub-Saharan Africa
120,Cameroon,,112.0,Maize (corn),2010,1.32,1.32,,"Shelling, Threshing",Farm,,,,Modelled Estimates,,https://www.aphlis.net/en/page/20/data-tables#/datatables?tab=value_chain&metric=prc,,Cereals & Pulses,Sub-Saharan Africa
120,Cameroon,,113.0,Rice,2010,1.25,1.25,,Transportation,Farm,,,,Modelled Estimates,,https://www.aphlis.net/en/page/20/data-tables#/datatables?tab=value_chain&metric=prc,,Cereals & Pulses,Sub-Saharan Africa
120,Cameroon,,113.0,Rice,2010,0.38,0.38,,Storage,Farm,,,,Modelled Estimates,,https://www.aphlis.net/en/page/20/data-tables#/datatables?tab=value_chain&metric=prc,,Cereals & Pulses,Sub-Saharan Africa
120,Cameroon,,113.0,Rice,2010,3.14,3.14,,"Shelling, Threshing",Farm,,,,Modelled Estimates,,https://www.aphlis.net/en/page/20/data-tables#/datatables?tab=value_chain&metric=prc,,Cereals & Pulses,Sub-Saharan Africa
120,Cameroon,,118.0,Millet,2010,0.79,0.79,,Winnowing,Farm,,,,Modelled Estimates,,https://www.aphlis.net/en/page/20/data-tables#/datatables?tab=value_chain&metric=prc,,Cereals & Pulses,Sub-Saharan Africa
120,Cameroon,,118.0,Millet,2010,2.5,2.5,,Transportation,Farm,,,,Modelled Estimates,,https://www.aphlis.net/en/page/20/data-tables#/datatables?tab=value_chain&metric=prc,,Cereals & Pulses,Sub-Saharan Africa
120,Cameroon,,118.0,Millet,2010,0.71,0.71,,Storage,Farm,,,,Modelled Estimates,,https://www.aphlis.net/en/page/20/data-tables#/datatables?tab=value_chain&metric=prc,,Cereals & Pulses,Sub-Saharan Africa
120,Cameroon,,118.0,Millet,2010,3.5,3.5,,"Drying, Harvesting",Harvest,,,,Modelled Estimates,,https://www.aphlis.net/en/page/20/data-tables#/datatables?tab=value_chain&metric=prc,,Cereals & Pulses,Sub-Saharan Africa
