"m49_code","country","region","cpc_code","commodity","year","loss_percentage","loss_percentage_original","loss_quantity","activity","food_supply_stage","treatment","cause_of_loss","sample_size","method_data_collection","reference","url","notes"
"246","Finland",,"01510","Potatoes",2010,28,"28%",,"Consumption","Food Services",,,,"Survey","Venice 2012, Fourth International Symposium on Energy from Biomass and Waste",,
"288","Ghana",,"01520.01","Cassava, fresh",2010,2.45,"0.9 -4",,"Sifting","Processing",,"Different Techniques Of Preparation","Laboratory Trials","Controlled Experiment","Amoah et al., (2010)","https://www.researchgate.net/publication/285594317_Postharvest_losses_in_Africa_-_Analytical_review_and_synthesis_the_case_of_Ghana",
"288","Ghana",,"01520.01","Cassava, fresh",2010,4.65,"0-9.3",,"Grating","Processing",,"Different Techniques Of Preparation","Laboratory Trials","Controlled Experiment","Amoah et al., (2010)","https://www.researchgate.net/publication/285594317_Postharvest_losses_in_Africa_-_Analytical_review_and_synthesis_the_case_of_Ghana",
"288","Ghana",,"01520.01","Cassava, fresh",2010,29.5,"21.8 - 37.2",,"Peeling","Processing",,"Different Techniques Of Preparation","Laboratory Trials","Controlled Experiment","Amoah et al., (2010)","https://www.researchgate.net/publication/285594317_Postharvest_losses_in_Africa_-_Analytical_review_and_synthesis_the_case_of_Ghana",
"288","Ghana",,"01520.01","Cassava, fresh",2010,17.6,"13.1 - 22.1",,"Roasting","Processing",,"Different Techniques Of Preparation","Laboratory Trials","Controlled Experiment","Amoah et al., (2010)","https://www.researchgate.net/publication/285594317_Postharvest_losses_in_Africa_-_Analytical_review_and_synthesis_the_case_of_Ghana",
"288","Ghana",,"01520.01","Cassava, fresh",2010,25.15,"18.6-31.7",,"Dewatering","Processing",,"Different Techniques Of Preparation","Laboratory Trials","Controlled Experiment","Amoah et al., (2010)","https://www.researchgate.net/publication/285594317_Postharvest_losses_in_Africa_-_Analytical_review_and_synthesis_the_case_of_Ghana",
"356","India",,"01510","Potatoes",2010,23.5,"19-28",,,"Harvest",,,,"Case Study","Kitinoja","http://ucanr.edu/datastoreFiles/234-1847.pdf",
"566","Nigeria",,"01540","Yams",2010,7.5,"5.0-10",,,"Transport",,,,"No Data Collection Specified","Dossou et al. 2010","http://www.mod.gov.tr/Lists/RecentPublications/Attachments/120/Reducing%20Postharvest%20Losses%20in%20the%20OIC%20Member%20Countries.pdf",
"566","Nigeria",,"01520.01","Cassava, fresh",2010,26.5,"23-30",,,"Farm",,"Poor cultural practices, not processed into flour, raw commodity left to rot","450","Survey","Olayemi, F. F.","https://www.researchgate.net/publication/274427068_Assessment_of_Post_Harvest_Losses_of_Some_Selected_Crops_in_Eight_Local_Government_Areas_of_Rivers_State_Nigeria",
"566","Nigeria",,"01540","Yams",2010,14.5,"12.0-17",,,"Farm",,"Poor cultural practices, not processed into flour, raw commodity left to rot","450","Survey","Olayemi, F. F.","https://www.researchgate.net/publication/274427068_Assessment_of_Post_Harvest_Losses_of_Some_Selected_Crops_in_Eight_Local_Government_Areas_of_Rivers_State_Nigeria",
"566","Nigeria",,"01540","Yams",2010,22.5,"20-25",,,"Storage",,"Poor cultural practices, not processed into flour, raw commodity left to rot; Traditional Storage","450","Survey","Olayemi, F. F.","https://www.researchgate.net/publication/274427068_Assessment_of_Post_Harvest_Losses_of_Some_Selected_Crops_in_Eight_Local_Government_Areas_of_Rivers_State_Nigeria",
"840","United States of America",,"01510","Potatoes",2010,4,"4",,,"Whole supply chain",,,,"National Accounts",,"https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/",
"840","United States of America",,"01530","Sweet potatoes",2010,10,"10",,,"Whole supply chain",,,,"National Accounts",,"https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/",
