"m49_code","country","region","cpc_code","commodity","year","loss_percentage","loss_percentage_original","loss_quantity","activity","food_supply_stage","treatment","cause_of_loss","sample_size","method_data_collection","reference","url","notes"
"12","Algeria",,"01510","Potatoes",2005,25,"10.0-40",,,"Whole supply chain",,"","","Literature Review","(Yahia 2005)","http://www.mod.gov.tr/Lists/RecentPublications/Attachments/120/Reducing%20Postharvest%20Losses%20in%20the%20OIC%20Member%20Countries.pdf","Sourced from Yahia 2005"
"12","Algeria",,"01510","Potatoes",1991,10,"10",,,"Whole supply chain",,,,"No Data Collection Specified","CIP. FAO, 1995.","http://www.fao.org/3/a-ax440e.pdf",
"144","Sri Lanka",,"01599.10","Edible roots and tubers with high starch or inulin content, n.e.c., fresh",2002,8.56,"8.56%",,"Retailing","Retail",,,,"Literature Review","Asian Productivity Organization and Food and Agriculture Organization of the United Nations",,
"144","Sri Lanka",,"01599.10","Edible roots and tubers with high starch or inulin content, n.e.c., fresh",2002,7.21,"7.21%",,,"Farm",,,,"Literature Review","Asian Productivity Organization and Food and Agriculture Organization of the United Nations",,
"144","Sri Lanka",,"01599.10","Edible roots and tubers with high starch or inulin content, n.e.c., fresh",2002,9.12,"9.12%",,"Collection","Trader",,,,"Literature Review","Asian Productivity Organization and Food and Agriculture Organization of the United Nations",,
"144","Sri Lanka",,"01599.10","Edible roots and tubers with high starch or inulin content, n.e.c., fresh",2002,27.02,"27.02%",,"Cleaning, Collection, Distribution, Drying, Field, Harvesting, Shelling, Storage, Threshing, Transportation","Whole supply chain",,,,"Literature Review","Asian Productivity Organization and Food and Agriculture Organization of the United Nations",,
"144","Sri Lanka",,"01599.10","Edible roots and tubers with high starch or inulin content, n.e.c., fresh",2002,2.13,"2.13%",,"Wholesale","Wholesale",,,,"Literature Review","Asian Productivity Organization and Food and Agriculture Organization of the United Nations",,
"152","Chile",,"01510","Potatoes",1991,12,"12",,,"Whole supply chain",,,,"No Data Collection Specified","CIP. FAO, 1995.","http://www.fao.org/3/a-ax440e.pdf",
"156","China",,"01510","Potatoes",2009,2,"2%",,"Storage","Storage",,,,"Survey","Thomas Reardon, Kevin Chen, Bart Minten and Lourdes Adriano (2012)",,
"156","China","Dingxi Prefecture  in Gansu","01510","Potatoes",2009,3,"3",,,"Trader",,,"17","Survey",,"https://www.adb.org/sites/default/files/publication/30063/quiet-revolution-staple-food-value-chains.pdf",
"156","China",,"01510","Potatoes",2009,2.23,"2.23%",,"Farm","Farm",,,,"Survey","Thomas Reardon, Kevin Chen, Bart Minten and Lourdes Adriano (2012)",,
"156","China","Beijing, Xinfadi and Jinxiudadi","01510","Potatoes",2009,1,"1",,,"Wholesale",,"In The Urban Market","30","Survey",,"https://www.adb.org/sites/default/files/publication/30063/quiet-revolution-staple-food-value-chains.pdf",
"156","China",,"01510","Potatoes",1991,10,"10",,,"Whole supply chain",,,,"No Data Collection Specified","CIP. FAO, 1995.","http://www.fao.org/3/a-ax440e.pdf",
"170","Colombia",,"01510","Potatoes",1994,25,"25",,,"Whole supply chain",,,,"No Data Collection Specified","Mendoza Gilberto, 1994","http://www.fao.org/3/a-ax440e.pdf",
"170","Colombia",,"01510","Potatoes",1991,10,"10",,,"Whole supply chain",,,,"No Data Collection Specified","CIP. FAO, 1995.","http://www.fao.org/3/a-ax440e.pdf",
"188","Costa Rica",,"01510","Potatoes",1991,3,"1.0-5",,"Handling","Transport",,,,"No Data Collection Specified","Alvaro Jara Solis","http://www.fao.org/3/a-ax440e.pdf",
"188","Costa Rica",,"01510","Potatoes",1991,24.36,"24.36",,,"Whole supply chain",,,,"No Data Collection Specified","Jara Solis Alvano, 1991","http://www.fao.org/3/a-ax440e.pdf",
"188","Costa Rica",,"01510","Potatoes",1991,5,"2.0-8",,"Distribution","Wholesale",,,,"No Data Collection Specified","Alvaro Jara Solis","http://www.fao.org/3/a-ax440e.pdf",
"188","Costa Rica",,"01510","Potatoes",1991,3.5,"2.0-5",,"Processing, Sorting","Farm",,,,"No Data Collection Specified","Alvaro Jara Solis","http://www.fao.org/3/a-ax440e.pdf",
"188","Costa Rica",,"01510","Potatoes",1991,6,"4.0-8",,"Processing","Processing",,,,"No Data Collection Specified","Alvaro Jara Solis","http://www.fao.org/3/a-ax440e.pdf",
"188","Costa Rica",,"01510","Potatoes",1991,2.5,"1.0-4",,"Storage","Farm",,,,"No Data Collection Specified","Alvaro Jara Solis","http://www.fao.org/3/a-ax440e.pdf",
"188","Costa Rica",,"01510","Potatoes",1991,4.5,"3.0-6",,"Transportation","Farm",,,,"No Data Collection Specified","Alvaro Jara Solis","http://www.fao.org/3/a-ax440e.pdf",
"188","Costa Rica",,"01510","Potatoes",1991,1.5,"1.0-2",,"Packaging","Farm",,,,"No Data Collection Specified","Alvaro Jara Solis","http://www.fao.org/3/a-ax440e.pdf",
"188","Costa Rica",,"01510","Potatoes",1991,5.5,"3.0-8",,"Harvesting","Farm",,,,"No Data Collection Specified","Alvaro Jara Solis","http://www.fao.org/3/a-ax440e.pdf",
"188","Costa Rica","North Area Cartago County","01510","Potatoes",1990,8.28,"3.89-12.67",,,"Farm",,"Sickness, Plague, Mechanical, Small","28 Producers","No Data Collection Specified","Jara Solis, Alvaro","http://www.fao.org/3/a-ax440e.pdf",
"192","Cuba",,"01510","Potatoes",1991,13,"13",,,"Whole supply chain",,,,"No Data Collection Specified","CIP. FAO, 1995.","http://www.fao.org/3/a-ax440e.pdf",
"204","Benin","Northern","01540","Yams",1994,26.8,"26.8",,,"Storage",,"Storage",,"No Data Collection Specified","FAO 1994","http://www.fao.org/docrep/004/ac301e/AC301e04.htm#3.1 Methodological problems",
"204","Benin","Northern","01540","Yams",1994,20.6,"20.6",,,"Storage",,"Storage",,"No Data Collection Specified","FAO 1994","http://www.fao.org/docrep/004/ac301e/AC301e04.htm#3.1 Methodological problems",
"204","Benin","Central","01540","Yams",1994,38.4,"38.4",,,"Storage",,"Storage; Late Variety",,"No Data Collection Specified","FAO 1994","http://www.fao.org/docrep/004/ac301e/AC301e04.htm#3.1 Methodological problems",
"204","Benin","Northern","01540","Yams",1994,59.1,"59.1",,,"Storage",,"Storage",,"No Data Collection Specified","FAO 1994","http://www.fao.org/docrep/004/ac301e/AC301e04.htm#3.1 Methodological problems",
"204","Benin","Central","01540","Yams",1994,24.2,"24.2",,,"Storage",,"Storage; Early Variety",,"No Data Collection Specified","FAO 1994","http://www.fao.org/docrep/004/ac301e/AC301e04.htm#3.1 Methodological problems",
"204","Benin","Central","01540","Yams",1994,22.4,"22.4",,,"Storage",,"Storage; Late Variety",,"No Data Collection Specified","FAO 1994","http://www.fao.org/docrep/004/ac301e/AC301e04.htm#3.1 Methodological problems",
"204","Benin","Central","01540","Yams",1994,57.3,"57.3",,,"Storage",,"Storage; Early Variety",,"No Data Collection Specified","FAO 1994","http://www.fao.org/docrep/004/ac301e/AC301e04.htm#3.1 Methodological problems",
"218","Ecuador",,"01510","Potatoes",1993,13.5,"7.0-20",,,"Whole supply chain",,,,"No Data Collection Specified","Van Norel Pauling, 1993","http://www.fao.org/3/a-ax440e.pdf",
"218","Ecuador",,"01510","Potatoes",1991,9,"9",,,"Whole supply chain",,,,"No Data Collection Specified","CIP. FAO, 1995.","http://www.fao.org/3/a-ax440e.pdf",
"231","Ethiopia",,"01510","Potatoes",1991,6,"6",,,"Whole supply chain",,,,"Literature Review","Tadesse 1991","http://ucanr.edu/datastoreFiles/234-1847.pdf; http://ucce.ucdavis.edu/files/datastore/234-1479.pdf",
"231","Ethiopia",,"01530","Sweet potatoes",1991,2.9,"2.9",,,"Whole supply chain",,,,"Literature Review","Tadesse 1991","http://ucanr.edu/datastoreFiles/234-1847.pdf; http://ucce.ucdavis.edu/files/datastore/234-1479.pdf",
"231","Ethiopia",,"01599.10","Edible roots and tubers with high starch or inulin content, n.e.c., fresh",1991,2.7,"2.7",,,"Whole supply chain",,,,"Literature Review","Tadesse 1991","http://ucanr.edu/datastoreFiles/234-1847.pdf; http://ucce.ucdavis.edu/files/datastore/234-1479.pdf",
"246","Finland",,"01510","Potatoes",2010,28,"28%",,"Consumption","Food Services",,,,"Survey","Venice 2012, Fourth International Symposium on Energy from Biomass and Waste",,
"288","Ghana",,"01520.01","Cassava, fresh",2010,2.45,"0.9 -4",,"Sifting","Processing",,"Different Techniques Of Preparation","Laboratory Trials","Controlled Experiment","Amoah et al., (2010)","https://www.researchgate.net/publication/285594317_Postharvest_losses_in_Africa_-_Analytical_review_and_synthesis_the_case_of_Ghana",
"288","Ghana",,"01520.01","Cassava, fresh",2010,4.65,"0-9.3",,"Grating","Processing",,"Different Techniques Of Preparation","Laboratory Trials","Controlled Experiment","Amoah et al., (2010)","https://www.researchgate.net/publication/285594317_Postharvest_losses_in_Africa_-_Analytical_review_and_synthesis_the_case_of_Ghana",
"288","Ghana",,"01520.01","Cassava, fresh",2010,29.5,"21.8 - 37.2",,"Peeling","Processing",,"Different Techniques Of Preparation","Laboratory Trials","Controlled Experiment","Amoah et al., (2010)","https://www.researchgate.net/publication/285594317_Postharvest_losses_in_Africa_-_Analytical_review_and_synthesis_the_case_of_Ghana",
"288","Ghana",,"01520.01","Cassava, fresh",2010,17.6,"13.1 - 22.1",,"Roasting","Processing",,"Different Techniques Of Preparation","Laboratory Trials","Controlled Experiment","Amoah et al., (2010)","https://www.researchgate.net/publication/285594317_Postharvest_losses_in_Africa_-_Analytical_review_and_synthesis_the_case_of_Ghana",
"288","Ghana",,"01520.01","Cassava, fresh",2010,25.15,"18.6-31.7",,"Dewatering","Processing",,"Different Techniques Of Preparation","Laboratory Trials","Controlled Experiment","Amoah et al., (2010)","https://www.researchgate.net/publication/285594317_Postharvest_losses_in_Africa_-_Analytical_review_and_synthesis_the_case_of_Ghana",
"288","Ghana",,"01520.01","Cassava, fresh",2008,18,"11 - 25%",,"Cleaning, Collection, Distribution, Drying, Field, Harvesting, Shelling, Storage, Threshing, Transportation","Whole supply chain",,,,"No Data Collection Specified","Agriculture and Rural Development Unit Sustainable Development Department Country Department AFCW1 Africa Region",,
"288","Ghana","Sites: transition ecological zone of Ghana","0142","Groundnuts, excluding shelled",2008,0.105,"0-.21",,"Marketing, Storage, Transportation","Transport",,,,"Survey","Egyir et al., (2008)","https://www.researchgate.net/publication/285594317_Postharvest_losses_in_Africa_-_Analytical_review_and_synthesis_the_case_of_Ghana",
"288","Ghana","Sites: transition ecological zone of Ghana","0142","Groundnuts, excluding shelled",2008,0.63,"0.51 -0.75",,"Storage","Storage",,,,"Survey","Egyir et al., (2008)","https://www.researchgate.net/publication/285594317_Postharvest_losses_in_Africa_-_Analytical_review_and_synthesis_the_case_of_Ghana",
"288","Ghana","Sites: transition ecological zone of Ghana","0142","Groundnuts, excluding shelled",2008,0.13,"0 - 0.26",,"Grading, Sorting","Processing",,,,"Survey","Egyir et al., (2008)","https://www.researchgate.net/publication/285594317_Postharvest_losses_in_Africa_-_Analytical_review_and_synthesis_the_case_of_Ghana",
"288","Ghana","Sites: transition ecological zone of Ghana","0142","Groundnuts, excluding shelled",2008,1.08,".01-2.15",,"Transportation","Transport",,,,"Survey","Egyir et al., (2008)","https://www.researchgate.net/publication/285594317_Postharvest_losses_in_Africa_-_Analytical_review_and_synthesis_the_case_of_Ghana",
"288","Ghana","Sites: transition ecological zone of Ghana","0142","Groundnuts, excluding shelled",2008,0.995,"0.92 - 1.07",,"Processing","Processing",,,,"Survey","Egyir et al., (2008)","https://www.researchgate.net/publication/285594317_Postharvest_losses_in_Africa_-_Analytical_review_and_synthesis_the_case_of_Ghana",
"288","Ghana","Sites: transition ecological zone of Ghana","0142","Groundnuts, excluding shelled",2008,1.51,"1.13-1.89",,"Packaging","Processing",,,,"Survey","Egyir et al., (2008)","https://www.researchgate.net/publication/285594317_Postharvest_losses_in_Africa_-_Analytical_review_and_synthesis_the_case_of_Ghana",
"288","Ghana","Sites: transition ecological zone of Ghana","0142","Groundnuts, excluding shelled",2008,0.04,"0 - 0.08",,"Assembling, Farm","Farm",,,,"Survey","Egyir et al., (2008)","https://www.researchgate.net/publication/285594317_Postharvest_losses_in_Africa_-_Analytical_review_and_synthesis_the_case_of_Ghana",
"288","Ghana","Sites: transition ecological zone of Ghana","0142","Groundnuts, excluding shelled",2008,1.04,"0 - 2.08",,"Harvesting","Harvest",,,,"Survey","Egyir et al., (2008)","https://www.researchgate.net/publication/285594317_Postharvest_losses_in_Africa_-_Analytical_review_and_synthesis_the_case_of_Ghana",
"288","Ghana","Sites: transitionecological zone ofGhana","0142","Groundnuts, excluding shelled",2008,0.135,".08-.19",,"Marketing, Storage","Market",,"","","Survey","Egyir et al., (2008)","https://www.researchgate.net/publication/285594317_Postharvest_losses_in_Africa_-_Analytical_review_and_synthesis_the_case_of_Ghana",""
"288","Ghana","forest and coastal ecological zones of Ghana","01520.01","Cassava, fresh",2008,0.25,"0 - 0.5",,"Grading, Sorting","Processing",,,,"Survey","Egyir et al., (2008)","https://www.researchgate.net/publication/285594317_Postharvest_losses_in_Africa_-_Analytical_review_and_synthesis_the_case_of_Ghana",
"288","Ghana","forest and coastal ecological zones of Ghana","01520.01","Cassava, fresh",2008,1.1,"0.8 -1.4",,"Marketing, Storage","Market",,"","","Survey","Egyir et al., (2008)","https://www.researchgate.net/publication/285594317_Postharvest_losses_in_Africa_-_Analytical_review_and_synthesis_the_case_of_Ghana",""
"288","Ghana","forest and coastal ecological zones of Ghana","01520.01","Cassava, fresh",2008,1.2,"1.2",,"Bagging","Farm",,,,"Survey","Egyir et al., (2008)","https://www.researchgate.net/publication/285594317_Postharvest_losses_in_Africa_-_Analytical_review_and_synthesis_the_case_of_Ghana",
"288","Ghana","forest and coastal ecological zones of Ghana","01520.01","Cassava, fresh",2008,0.45,"0 - 0.9",,"Assembling, Farm","Farm",,,,"Survey","Egyir et al., (2008)","https://www.researchgate.net/publication/285594317_Postharvest_losses_in_Africa_-_Analytical_review_and_synthesis_the_case_of_Ghana",
"288","Ghana","forest and coastal ecological zones of Ghana","01520.01","Cassava, fresh",2008,3.55,"1.8 -5.3",,"Transportation","Transport",,,,"Survey","Egyir et al., (2008)","https://www.researchgate.net/publication/285594317_Postharvest_losses_in_Africa_-_Analytical_review_and_synthesis_the_case_of_Ghana",
"288","Ghana","forest and coastal ecological zones of Ghana","01520.01","Cassava, fresh",2008,2,"1.3 - 2.7",,"Farm, Storage","Storage",,,,"Survey","Egyir et al., (2008)","https://www.researchgate.net/publication/285594317_Postharvest_losses_in_Africa_-_Analytical_review_and_synthesis_the_case_of_Ghana",
"288","Ghana",,"01520.01","Cassava, fresh",2008,20,"20",,,"Storage",,"Parboiling",,"Controlled Experiment","Chijindu et al.,(2008)","https://www.researchgate.net/publication/285594317_Postharvest_losses_in_Africa_-_Analytical_review_and_synthesis_the_case_of_Ghana",
"288","Ghana","forest and coastal ecological zones of Ghana","01520.01","Cassava, fresh",2008,3.85,"2.1-5.6",,"Harvesting","Harvest",,,,"Survey","Egyir et al., (2008)","https://www.researchgate.net/publication/285594317_Postharvest_losses_in_Africa_-_Analytical_review_and_synthesis_the_case_of_Ghana",
"288","Ghana","forest and coastal ecological zones of Ghana","01520.01","Cassava, fresh",2008,1.7,"0.4 -3",,"Processing","Processing",,,,"Survey","Egyir et al., (2008)","https://www.researchgate.net/publication/285594317_Postharvest_losses_in_Africa_-_Analytical_review_and_synthesis_the_case_of_Ghana",
"288","Ghana",,"01540","Yams",2008,9.15,"0.8-  17.5",,"Farm, Storage","Storage",,,,"Survey","Egyir et al., (2008)","https://www.researchgate.net/publication/285594317_Postharvest_losses_in_Africa_-_Analytical_review_and_synthesis_the_case_of_Ghana",
"288","Ghana",,"01540","Yams",2008,2.5,"1 - 4",,"Marketing, Storage","Market",,"","","Survey","Egyir et al., (2008)","https://www.researchgate.net/publication/285594317_Postharvest_losses_in_Africa_-_Analytical_review_and_synthesis_the_case_of_Ghana",""
"288","Ghana",,"01540","Yams",2008,10.25,"4.9 -15.6",,"Transportation","Transport",,,,"Survey","Egyir et al., (2008)","https://www.researchgate.net/publication/285594317_Postharvest_losses_in_Africa_-_Analytical_review_and_synthesis_the_case_of_Ghana",
"288","Ghana",,"01540","Yams",2008,3,"2.8 - 3.2",,"Grading, Sorting","Processing",,,,"Survey","Egyir et al., (2008)","https://www.researchgate.net/publication/285594317_Postharvest_losses_in_Africa_-_Analytical_review_and_synthesis_the_case_of_Ghana",
"288","Ghana",,"01540","Yams",2008,2.25,"0 - 4.5",,"Assembling, Farm","Farm",,,,"Survey","Egyir et al., (2008)","https://www.researchgate.net/publication/285594317_Postharvest_losses_in_Africa_-_Analytical_review_and_synthesis_the_case_of_Ghana",
"288","Ghana",,"01540","Yams",2008,0.1,"0 - 0.2",,"Packaging","Processing",,,,"Survey","Egyir et al., (2008)","https://www.researchgate.net/publication/285594317_Postharvest_losses_in_Africa_-_Analytical_review_and_synthesis_the_case_of_Ghana",
"288","Ghana",,"01540","Yams",2008,0.65,"0 -1.3",,"Processing","Processing",,,,"Survey","Egyir et al., (2008)","https://www.researchgate.net/publication/285594317_Postharvest_losses_in_Africa_-_Analytical_review_and_synthesis_the_case_of_Ghana",
"288","Ghana","Savanna, transition and coastal ecological zones of Ghana","01540","Yams",2008,2.6,"2.1 - 3.1",,"Harvesting","Harvest",,,,"Survey","Egyir et al., (2008)","https://www.researchgate.net/publication/285594317_Postharvest_losses_in_Africa_-_Analytical_review_and_synthesis_the_case_of_Ghana",
