m49_code,country,region,cpc_code,commodity,year,loss_percentage,loss_percentage_original,loss_quantity,activity,food_supply_stage,treatment,cause_of_loss,sample_size,method_data_collection,reference,url,notes
104,Myanmar,,0142,"Groundnuts, excluding shelled",2009,5.22,5.22%,68100,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,,
104,Myanmar,,0142,"Groundnuts, excluding shelled",2008,5.43,5.43%,65240,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,,
104,Myanmar,,0142,"Groundnuts, excluding shelled",2007,5.61,5.61%,61080,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,,
104,Myanmar,,0142,"Groundnuts, excluding shelled",2006,5.4,5.4%,55270,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,,
104,Myanmar,,0142,"Groundnuts, excluding shelled",2005,5.0,5%,51970,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,,
104,Myanmar,,0142,"Groundnuts, excluding shelled",2004,5.0,5%,47310,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,,
104,Myanmar,,0142,"Groundnuts, excluding shelled",2003,5.0,5%,43880,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,,
104,Myanmar,,0113,Rice,1994,2.1,2.1,,,Harvest,,"Too Mature, Leading To Breakage",,,,http://www.fao.org/docrep/004/ac301e/AC301e04.htm#3.1 Methodological problems,
104,Myanmar,,0113,Rice,1994,0.5,0.5,,,Farm,,Field Stacking And Bundling,,,,http://www.fao.org/docrep/004/ac301e/AC301e04.htm#3.1 Methodological problems,
104,Myanmar,,0113,Rice,1994,5.2,5.2,,,Farm,,Reaper-Binder,,,(Calverley: evaluation of 11 FAO projects in Asia),http://www.fao.org/docrep/004/ac301e/AC301e04.htm#3.1 Methodological problems,
104,Myanmar,,0113,Rice,1994,1.9,1.9,,,Harvest,,Traditional Hand Cutting,,,(Calverley: evaluation of 11 FAO projects in Asia),http://www.fao.org/docrep/004/ac301e/AC301e04.htm#3.1 Methodological problems,
104,Myanmar,,0113,Rice,1994,2.1,2.1,,Harvesting,Harvest,,Combine-Harvester,,,(Calverley: evaluation of 11 FAO projects in Asia),http://www.fao.org/docrep/004/ac301e/AC301e04.htm#3.1 Methodological problems,
104,Myanmar,,0113,Rice,1994,5.4,5.4,,,Harvest,,Shoulder Power Reaper,,,(Calverley: evaluation of 11 FAO projects in Asia),http://www.fao.org/docrep/004/ac301e/AC301e04.htm#3.1 Methodological problems,
108,Burundi,,0111,Wheat,2010,3.5,3.5,,"Shelling, Threshing",Farm,,,,Modelled Estimates,,https://www.aphlis.net/en/page/20/data-tables#/datatables?tab=value_chain&metric=prc,
108,Burundi,,0111,Wheat,2010,2.5,2.5,,Transportation,Farm,,,,Modelled Estimates,,https://www.aphlis.net/en/page/20/data-tables#/datatables?tab=value_chain&metric=prc,
108,Burundi,,0111,Wheat,2010,4.87,4.87,,Storage,Farm,,,,Modelled Estimates,,https://www.aphlis.net/en/page/20/data-tables#/datatables?tab=value_chain&metric=prc,
108,Burundi,,0111,Wheat,2010,4.43,4.43,,"Drying, Harvesting",Harvest,,,,Modelled Estimates,,https://www.aphlis.net/en/page/20/data-tables#/datatables?tab=value_chain&metric=prc,
108,Burundi,,0112,Maize (corn),2010,1.32,1.32,,"Shelling, Threshing",Farm,,,,Modelled Estimates,,https://www.aphlis.net/en/page/20/data-tables#/datatables?tab=value_chain&metric=prc,
