,year,deaths
10501,1990,12526159
10502,1991,12282120
10503,1992,12021888
10504,1993,11758008
10505,1994,11525950
10506,1995,11203846
10507,1996,10929025
10508,1997,10650123
10509,1998,10368006
10510,1999,10077090
10511,2000,9756457
10512,2001,9440714
10513,2002,9124349
10514,2003,8817145
10515,2004,8552804
10516,2005,8231431
10517,2006,7955503
10518,2007,7682555
10519,2008,7447910
10520,2009,7156088
10521,2010,6939600
10522,2011,6666684
10523,2012,6448327
10524,2013,6240248
10525,2014,6045512
10526,2015,5862085
10527,2016,5685842
