,country,year,life_stage,deaths
0,Afghanistan,1990,Year 1-4,34577.0
26,Afghanistan,2016,Year 1-4,19112.0
30,Albania,1990,Year 1-4,440.0
56,Albania,2016,Year 1-4,37.0
60,Algeria,1990,Year 1-4,6450.0
86,Algeria,2016,Year 1-4,3406.0
90,Andorra,1990,Year 1-4,2.0
116,Andorra,2016,Year 1-4,0.0
120,Angola,1990,Year 1-4,49495.0
146,Angola,2016,Year 1-4,32348.0
150,Antigua and Barbuda,1990,Year 1-4,3.0
176,Antigua and Barbuda,2016,Year 1-4,2.0
180,Argentina,1990,Year 1-4,2348.0
206,Argentina,2016,Year 1-4,897.0
210,Armenia,1990,Year 1-4,571.0
236,Armenia,2016,Year 1-4,63.0
240,Australia,1990,Year 1-4,396.0
266,Australia,2016,Year 1-4,184.0
270,Austria,1990,Year 1-4,130.0
296,Austria,2016,Year 1-4,53.0
300,Azerbaijan,1990,Year 1-4,3912.0
326,Azerbaijan,2016,Year 1-4,477.0
330,Bahamas,1990,Year 1-4,21.0
356,Bahamas,2016,Year 1-4,10.0
360,Bahrain,1990,Year 1-4,49.0
386,Bahrain,2016,Year 1-4,23.0
390,Bangladesh,1990,Year 1-4,161178.0
416,Bangladesh,2016,Year 1-4,19695.0
420,Barbados,1990,Year 1-4,8.0
446,Barbados,2016,Year 1-4,3.0
450,Belarus,1990,Year 1-4,487.0
476,Belarus,2016,Year 1-4,106.0
480,Belgium,1990,Year 1-4,197.0
506,Belgium,2016,Year 1-4,96.0
510,Belize,1990,Year 1-4,46.0
536,Belize,2016,Year 1-4,16.0
540,Benin,1990,Year 1-4,14455.0
566,Benin,2016,Year 1-4,12772.0
570,Bhutan,1990,Year 1-4,749.0
596,Bhutan,2016,Year 1-4,71.0
600,Bolivia,1990,Year 1-4,8804.0
626,Bolivia,2016,Year 1-4,1399.0
630,Bosnia and Herzegovina,1990,Year 1-4,147.0
656,Bosnia and Herzegovina,2016,Year 1-4,27.0
660,Botswana,1990,Year 1-4,488.0
686,Botswana,2016,Year 1-4,552.0
690,Brazil,1990,Year 1-4,39846.0
716,Brazil,2016,Year 1-4,5300.0
720,Brunei,1990,Year 1-4,22.0
746,Brunei,2016,Year 1-4,13.0
750,Bulgaria,1990,Year 1-4,439.0
776,Bulgaria,2016,Year 1-4,87.0
780,Burkina Faso,1990,Year 1-4,39069.0
806,Burkina Faso,2016,Year 1-4,27066.0
810,Burundi,1990,Year 1-4,17281.0
836,Burundi,2016,Year 1-4,7971.0
840,Cambodia,1990,Year 1-4,12113.0
866,Cambodia,2016,Year 1-4,1558.0
870,Cameroon,1990,Year 1-4,25370.0
896,Cameroon,2016,Year 1-4,24163.0
900,Canada,1990,Year 1-4,539.0
926,Canada,2016,Year 1-4,258.0
930,Cape Verde,1990,Year 1-4,186.0
956,Cape Verde,2016,Year 1-4,28.0
960,Central African Republic,1990,Year 1-4,6868.0
986,Central African Republic,2016,Year 1-4,5379.0
990,Chad,1990,Year 1-4,27474.0
1016,Chad,2016,Year 1-4,30011.0
1020,Chile,1990,Year 1-4,845.0
1046,Chile,2016,Year 1-4,274.0
1050,China,1990,Year 1-4,292544.0
1076,China,2016,Year 1-4,40628.0
1080,Colombia,1990,Year 1-4,5555.0
1106,Colombia,2016,Year 1-4,1562.0
1110,Comoros,1990,Year 1-4,618.0
1136,Comoros,2016,Year 1-4,433.0
1140,Congo,1990,Year 1-4,2667.0
1166,Congo,2016,Year 1-4,2331.0
1170,Cook Islands,1990,Year 1-4,2.0
1196,Cook Islands,2016,Year 1-4,0.0
1200,Costa Rica,1990,Year 1-4,245.0
1226,Costa Rica,2016,Year 1-4,91.0
1230,Cote d'Ivoire,1990,Year 1-4,23150.0
1256,Cote d'Ivoire,2016,Year 1-4,19475.0
1260,Croatia,1990,Year 1-4,101.0
1286,Croatia,2016,Year 1-4,29.0
1290,Cuba,1990,Year 1-4,494.0
1316,Cuba,2016,Year 1-4,139.0
1320,Cyprus,1990,Year 1-4,17.0
1346,Cyprus,2016,Year 1-4,6.0
1350,Czechia,1990,Year 1-4,237.0
1376,Czechia,2016,Year 1-4,71.0
1380,Democratic Republic of Congo,1990,Year 1-4,97055.0
1406,Democratic Republic of Congo,2016,Year 1-4,67568.0
1410,Denmark,1990,Year 1-4,90.0
1436,Denmark,2016,Year 1-4,34.0
1440,Djibouti,1990,Year 1-4,524.0
1466,Djibouti,2016,Year 1-4,225.0
1470,Dominica,1990,Year 1-4,6.0
1496,Dominica,2016,Year 1-4,3.0
1500,Dominican Republic,1990,Year 1-4,2788.0
1526,Dominican Republic,2016,Year 1-4,1296.0
1530,Ecuador,1990,Year 1-4,3491.0
1556,Ecuador,2016,Year 1-4,679.0
1560,Egypt,1990,Year 1-4,42456.0
1586,Egypt,2016,Year 1-4,8385.0
1590,El Salvador,1990,Year 1-4,2244.0
1616,El Salvador,2016,Year 1-4,247.0
1620,Equatorial Guinea,1990,Year 1-4,916.0
1646,Equatorial Guinea,2016,Year 1-4,937.0
1650,Eritrea,1990,Year 1-4,5412.0
1676,Eritrea,2016,Year 1-4,1292.0
1680,Estonia,1990,Year 1-4,87.0
1706,Estonia,2016,Year 1-4,9.0
1710,Eswatini,1990,Year 1-4,503.0
1736,Eswatini,2016,Year 1-4,400.0
1740,Ethiopia,1990,Year 1-4,170380.0
1766,Ethiopia,2016,Year 1-4,58031.0
1770,Fiji,1990,Year 1-4,103.0
1796,Fiji,2016,Year 1-4,74.0
1800,Finland,1990,Year 1-4,75.0
1826,Finland,2016,Year 1-4,26.0
1830,France,1990,Year 1-4,1161.0
1856,France,2016,Year 1-4,753.0
1860,Gabon,1990,Year 1-4,1075.0
1886,Gabon,2016,Year 1-4,772.0
1890,Gambia,1990,Year 1-4,3332.0
1916,Gambia,2016,Year 1-4,1487.0
1920,Georgia,1990,Year 1-4,668.0
1946,Georgia,2016,Year 1-4,64.0
1950,Germany,1990,Year 1-4,1313.0
1976,Germany,2016,Year 1-4,434.0
1980,Ghana,1990,Year 1-4,26404.0
2006,Ghana,2016,Year 1-4,12346.0
2010,Greece,1990,Year 1-4,152.0
2036,Greece,2016,Year 1-4,50.0
2040,Grenada,1990,Year 1-4,14.0
2066,Grenada,2016,Year 1-4,4.0
2070,Guatemala,1990,Year 1-4,7176.0
2096,Guatemala,2016,Year 1-4,1798.0
2100,Guinea,1990,Year 1-4,26618.0
2126,Guinea,2016,Year 1-4,15711.0
2130,Guinea-Bissau,1990,Year 1-4,3972.0
2156,Guinea-Bissau,2016,Year 1-4,1896.0
2160,Guyana,1990,Year 1-4,304.0
2186,Guyana,2016,Year 1-4,87.0
2190,Haiti,1990,Year 1-4,11613.0
2216,Haiti,2016,Year 1-4,4477.0
2220,Honduras,1990,Year 1-4,2363.0
2246,Honduras,2016,Year 1-4,546.0
2250,Hungary,1990,Year 1-4,254.0
2276,Hungary,2016,Year 1-4,70.0
2280,Iceland,1990,Year 1-4,5.0
2306,Iceland,2016,Year 1-4,2.0
2310,India,1990,Year 1-4,1018504.0
2336,India,2016,Year 1-4,194426.0
2340,Indonesia,1990,Year 1-4,105797.0
2366,Indonesia,2016,Year 1-4,21034.0
2370,Iran,1990,Year 1-4,25002.0
2396,Iran,2016,Year 1-4,2977.0
2400,Iraq,1990,Year 1-4,7325.0
2426,Iraq,2016,Year 1-4,5024.0
2430,Ireland,1990,Year 1-4,89.0
2456,Ireland,2016,Year 1-4,35.0
2460,Israel,1990,Year 1-4,184.0
2486,Israel,2016,Year 1-4,121.0
2490,Italy,1990,Year 1-4,741.0
2516,Italy,2016,Year 1-4,266.0
2520,Jamaica,1990,Year 1-4,319.0
2546,Jamaica,2016,Year 1-4,102.0
2550,Japan,1990,Year 1-4,2398.0
2576,Japan,2016,Year 1-4,766.0
2580,Jordan,1990,Year 1-4,751.0
2606,Jordan,2016,Year 1-4,521.0
2610,Kazakhstan,1990,Year 1-4,3141.0
2636,Kazakhstan,2016,Year 1-4,466.0
2640,Kenya,1990,Year 1-4,35671.0
2666,Kenya,2016,Year 1-4,18851.0
2670,Kiribati,1990,Year 1-4,62.0
2696,Kiribati,2016,Year 1-4,39.0
2700,Kuwait,1990,Year 1-4,119.0
2726,Kuwait,2016,Year 1-4,76.0
2730,Kyrgyzstan,1990,Year 1-4,1500.0
2756,Kyrgyzstan,2016,Year 1-4,365.0
2760,Laos,1990,Year 1-4,8070.0
2786,Laos,2016,Year 1-4,1822.0
2790,Latvia,1990,Year 1-4,153.0
2816,Latvia,2016,Year 1-4,15.0
2820,Lebanon,1990,Year 1-4,415.0
2846,Lebanon,2016,Year 1-4,118.0
2850,Lesotho,1990,Year 1-4,986.0
2876,Lesotho,2016,Year 1-4,1069.0
2880,Liberia,1990,Year 1-4,8713.0
2906,Liberia,2016,Year 1-4,3423.0
2910,Libya,1990,Year 1-4,815.0
2936,Libya,2016,Year 1-4,247.0
2940,Lithuania,1990,Year 1-4,180.0
2966,Lithuania,2016,Year 1-4,28.0
2970,Luxembourg,1990,Year 1-4,6.0
2996,Luxembourg,2016,Year 1-4,3.0
3000,Madagascar,1990,Year 1-4,28514.0
3026,Madagascar,2016,Year 1-4,13216.0
3030,Malawi,1990,Year 1-4,41453.0
3056,Malawi,2016,Year 1-4,8779.0
3060,Malaysia,1990,Year 1-4,1128.0
3086,Malaysia,2016,Year 1-4,593.0
3090,Maldives,1990,Year 1-4,209.0
3116,Maldives,2016,Year 1-4,10.0
3120,Mali,1990,Year 1-4,43071.0
3146,Mali,2016,Year 1-4,28684.0
3150,Malta,1990,Year 1-4,7.0
3176,Malta,2016,Year 1-4,4.0
3180,Marshall Islands,1990,Year 1-4,19.0
3206,Marshall Islands,2016,Year 1-4,9.0
3210,Mauritania,1990,Year 1-4,3563.0
3236,Mauritania,2016,Year 1-4,3584.0
3240,Mauritius,1990,Year 1-4,63.0
3266,Mauritius,2016,Year 1-4,23.0
3270,Mexico,1990,Year 1-4,21889.0
3296,Mexico,2016,Year 1-4,4990.0
3300,Micronesia (country),1990,Year 1-4,33.0
3326,Micronesia (country),2016,Year 1-4,11.0
3330,Moldova,1990,Year 1-4,523.0
3356,Moldova,2016,Year 1-4,96.0
3360,Monaco,1990,Year 1-4,1.0
3386,Monaco,2016,Year 1-4,1.0
3390,Mongolia,1990,Year 1-4,2230.0
3416,Mongolia,2016,Year 1-4,197.0
3420,Montenegro,1990,Year 1-4,16.0
3446,Montenegro,2016,Year 1-4,5.0
3450,Morocco,1990,Year 1-4,12770.0
3476,Morocco,2016,Year 1-4,2227.0
3480,Mozambique,1990,Year 1-4,47120.0
3506,Mozambique,2016,Year 1-4,21073.0
3510,Myanmar,1990,Year 1-4,39410.0
3536,Myanmar,2016,Year 1-4,10174.0
3540,Namibia,1990,Year 1-4,1201.0
3566,Namibia,2016,Year 1-4,913.0
3570,Nauru,1990,Year 1-4,4.0
3596,Nauru,2016,Year 1-4,2.0
3600,Nepal,1990,Year 1-4,29269.0
3626,Nepal,2016,Year 1-4,3424.0
3630,Netherlands,1990,Year 1-4,284.0
3656,Netherlands,2016,Year 1-4,105.0
3660,New Zealand,1990,Year 1-4,109.0
3686,New Zealand,2016,Year 1-4,56.0
3690,Nicaragua,1990,Year 1-4,2404.0
3716,Nicaragua,2016,Year 1-4,365.0
3720,Niger,1990,Year 1-4,80200.0
3746,Niger,2016,Year 1-4,35488.0
3750,Nigeria,1990,Year 1-4,339857.0
3776,Nigeria,2016,Year 1-4,319857.0
3780,Niue,1990,Year 1-4,1.0
3806,Niue,2016,Year 1-4,0.0
3810,North Korea,1990,Year 1-4,4077.0
3836,North Korea,2016,Year 1-4,1694.0
3840,North Macedonia,1990,Year 1-4,134.0
3866,North Macedonia,2016,Year 1-4,30.0
3870,Norway,1990,Year 1-4,90.0
3896,Norway,2016,Year 1-4,29.0
3900,Oman,1990,Year 1-4,513.0
3926,Oman,2016,Year 1-4,126.0
3930,Pakistan,1990,Year 1-4,135146.0
3956,Pakistan,2016,Year 1-4,74961.0
3960,Palau,1990,Year 1-4,2.0
3986,Palau,2016,Year 1-4,1.0
3990,Palestine,1990,Year 1-4,770.0
4016,Palestine,2016,Year 1-4,375.0
4020,Panama,1990,Year 1-4,338.0
4046,Panama,2016,Year 1-4,180.0
4050,Papua New Guinea,1990,Year 1-4,3461.0
4076,Papua New Guinea,2016,Year 1-4,2322.0
4080,Paraguay,1990,Year 1-4,1250.0
4106,Paraguay,2016,Year 1-4,450.0
4110,Peru,1990,Year 1-4,15738.0
4136,Peru,2016,Year 1-4,1935.0
4140,Philippines,1990,Year 1-4,32497.0
4166,Philippines,2016,Year 1-4,14220.0
