,country,year,child_mortality,gdp_per_capita,population,continent
0,Afghanistan,2016,7.040000000000001,1929.0,34636212.0,Asia
1,Albania,2016,1.35,10342.0,2881064.0,Europe
2,Algeria,2016,2.52,14331.0,40339328.0,Africa
3,American Samoa,2016,,,50468.0,Oceania
4,Andorra,2016,0.27,,72563.0,Europe
5,Angola,2016,8.25,8453.0,29154742.0,Africa
6,Anguilla,2016,,,14842.0,North America
7,Antigua and Barbuda,2016,0.8500000000000001,,90575.0,North America
8,Argentina,2016,1.11,18875.0,43668236.0,South America
9,Armenia,2016,1.34,10080.0,2865841.0,Asia
10,Aruba,2016,1.6265,,104890.0,North America
11,Australia,2016,0.37,48845.0,24195706.0,Oceania
12,Austria,2016,0.35,41445.0,8736491.0,Europe
13,Azerbaijan,2016,3.09,16645.0,9976254.0,Asia
14,Bahamas,2016,1.06,,395986.0,North America
15,Bahrain,2016,0.76,41078.0,1409668.0,Asia
16,Bangladesh,2016,3.4200000000000004,3604.0,159784576.0,Asia
17,Barbados,2016,1.2300000000000002,12003.0,278660.0,North America
18,Belarus,2016,0.39,17628.0,9708111.0,Europe
19,Belgium,2016,0.39,38766.0,11316837.0,Europe
20,Belize,2016,1.4900000000000002,,367327.0,North America
21,Benin,2016,9.76,2080.0,11260091.0,Africa
22,Bermuda,2016,,,63090.0,North America
23,Bhutan,2016,3.24,,749764.0,Asia
24,Bolivia,2016,3.69,6355.0,11263016.0,South America
25,Bosnia and Herzegovina,2016,0.6000000000000001,9746.0,3480985.0,Europe
26,Botswana,2016,4.0600000000000005,15198.0,2352419.0,Africa
27,Brazil,2016,1.51,13873.0,206859584.0,South America
28,British Virgin Islands,2016,,,29763.0,North America
29,Brunei,2016,0.99,,426001.0,Asia
30,Bulgaria,2016,0.76,17037.0,7245982.0,Europe
31,Burkina Faso,2016,8.459999999999999,1483.0,19275504.0,Africa
32,Burundi,2016,7.170000000000001,665.0,10903329.0,Africa
33,Cambodia,2016,3.0600000000000005,3251.0,15624586.0,Asia
34,Cameroon,2016,7.970000000000001,2828.0,23711626.0,Africa
35,Canada,2016,0.49,43745.0,36113532.0,North America
36,Cape Verde,2016,2.14,6418.0,558399.0,Africa
37,Cayman Islands,2016,,,62274.0,North America
38,Central African Republic,2016,12.36,589.0,4904182.0,Africa
39,Chad,2016,12.73,2189.0,14592587.0,Africa
40,Chile,2016,0.8300000000000001,21696.0,18083880.0,South America
41,China,2016,0.99,12569.0,1401889664.0,Asia
42,Colombia,2016,1.5300000000000002,13326.0,47625960.0,South America
43,Comoros,2016,7.33,1702.0,746239.0,Africa
44,Cook Islands,2016,0.78,,17572.0,Oceania
45,Costa Rica,2016,0.8800000000000001,14098.0,4945205.0,North America
46,Croatia,2016,0.47,20376.0,4223748.0,Europe
47,Cuba,2016,0.55,8000.0,11342012.0,North America
48,Curacao,2016,1.1045,,170752.0,North America
49,Cyprus,2016,0.26,25577.0,1197889.0,Europe
50,Denmark,2016,0.44,44836.0,5706856.0,Europe
51,Djibouti,2016,6.420000000000001,3064.0,1023269.0,Africa
52,Dominica,2016,3.4000000000000004,9550.0,70098.0,North America
53,Dominican Republic,2016,3.0700000000000003,14489.0,10527589.0,North America
54,Ecuador,2016,2.09,10527.0,16439588.0,South America
